stratum,home team,away team,venue,date,time
Biddenham CC - Sunday League XI,Biddenham CC-Sunday League XI,Ickwell CC-Sunday 1st XI,Biddenham Pavilion,Sunday 17 May 2026,13:00
Biddenham CC - Sunday League XI,Southill Park CC-Sunday 1st XI,Biddenham CC-Sunday League XI,Southill Park CG,Sunday 24 May 2026,13:00
Biddenham CC - Sunday League XI,Luton Town & Indians CC-1st XI,Biddenham CC-Sunday League XI,Luton Town & Indians CC,Sunday 07 June 2026,13:00
Biddenham CC - Sunday League XI,Biddenham CC-Sunday League XI,"Queens Park Westfield CC, Beds-Sunday 1st XI",Biddenham Pavilion,Sunday 14 June 2026,13:00
Biddenham CC - Sunday League XI,Lutonian CC-1st XI,Biddenham CC-Sunday League XI,Lower Wardown Park,Sunday 21 June 2026,13:00
Biddenham CC - Sunday League XI,Bedford CC-Sunday 1st XI,Biddenham CC-Sunday League XI,The Bury,Sunday 28 June 2026,13:00
Biddenham CC - Sunday League XI,Dunstable Town CC-Sunday 1st XI,Biddenham CC-Sunday League XI,Lancot Park,Sunday 05 July 2026,13:00
Biddenham CC - Sunday League XI,Biddenham CC-Sunday League XI,Southill Park CC-Sunday 1st XI,Biddenham Pavilion,Sunday 12 July 2026,13:00
Biddenham CC - Sunday League XI,Flitwick CC-1st XI,Biddenham CC-Sunday League XI,The Hardy Vale,Sunday 19 July 2026,13:00
Biddenham CC - Sunday League XI,Biddenham CC-Sunday League XI,Dunstable Town CC-Sunday 1st XI,Biddenham Pavilion,Sunday 02 August 2026,13:00
Biddenham CC - Sunday League XI,Biddenham CC-Sunday League XI,Luton Town & Indians CC-1st XI,Biddenham Pavilion,Sunday 09 August 2026,13:00
Biddenham CC - Sunday League XI,Biddenham CC-Sunday League XI,Lutonian CC-1st XI,Biddenham Pavilion,Sunday 16 August 2026,13:00
Biddenham CC - Sunday League XI,Ickwell CC-Sunday 1st XI,Biddenham CC-Sunday League XI,Ickwell Cricket Club,Sunday 23 August 2026,13:00
Biddenham CC - Sunday League XI,"Queens Park Westfield CC, Beds-Sunday 1st XI",Biddenham CC-Sunday League XI,Allens Park,Sunday 06 September 2026,13:00
Biddenham CC - Sunday Friendly XI,Biddenham CC-Sunday Friendly XI,Thurleigh CC-Sunday Social XI,Biddenham Pavilion,Sunday 21 June 2026,13:00
Biddenham CC - Sunday Friendly XI,Biddenham CC-Sunday Friendly XI,Stoke Hammond CC-Friendly XI,Biddenham Pavilion,Sunday 28 June 2026,13:30
Biddenham CC - Sunday Friendly XI,Biddenham CC-Sunday Friendly XI,Rushden and Higham Town CC-Rushden Wanderers,Biddenham Pavilion,Sunday 05 July 2026,13:00
Biddenham CC - Sunday Friendly XI,Biddenham CC-Sunday Friendly XI,Aspley Guise CC-Friendly XI,Biddenham Pavilion,Sunday 19 July 2026,13:30
Biddenham CC - Sunday Friendly XI,Stoke Hammond CC-Friendly XI,Biddenham CC-Sunday Friendly XI,The Recreation Ground,Sunday 09 August 2026,13:30
Biddenham CC - Midweek XI,Cauldwell Cobras CC-Midweek XI,Biddenham CC-Midweek XI,Biddenham Pavilion,Wednesday 20 May 2026,18:30
Biddenham CC - Midweek XI,Kempston Hammers CC-Midweek XI,Biddenham CC-Midweek XI,Kempston Hammers,Wednesday 27 May 2026,18:30
Biddenham CC - Midweek XI,Sharnbrook CC-Sharnbrook Ringers,Biddenham CC-Midweek XI,Sharnbrook Cricket Club,Wednesday 03 June 2026,18:30
Biddenham CC - Midweek XI,Biddenham CC-Midweek XI,Cople CC-1st XI,Biddenham Pavilion,Wednesday 17 June 2026,18:30
